gene_name	DAY0_001	DAY0_002	DAY0_003	DAY0_004	DAY0_005	DAY2_001	DAY2_002	DAY2_003	DAY2_004	DAY2_005	DAY4_001	DAY4_002	DAY4_003	DAY4_004	DAY4_005	DAY6_001	DAY6_002	DAY6_003	DAY6_004	DAY6_005	DAY8_001	DAY8_002	DAY8_003	DAY8_004	DAY8_005
Fli1	13.36	79.83	32.06	6.84	10.27	14.37	10.65	3.61	29.67	9.06	18.73	2.99	12.07	6.51	20.55	1.15	0.87	86.32	11.53	3	44.42	5.1	26.46	3.46	13.93
Actr10	21.52	11.32	0.11	50.85	2.96	23.01	14.91	11.98	13.93	38.45	19.5	0.57	5.23	0.37	0.38	0.8	20.12	0	3	0	0.36	0.47	31.03	0	17.24
Myl12b	63.05	239.4	44.24	45.44	97.22	135.13	171.32	49.21	22.93	27.68	31.28	5.51	49	19.69	4.34	99.34	2.18	2.7	10.21	10.57	5.22	117.11	5.79	7.43	66.69
Osbpl1a	0	0	0	0	0	21.4	34.75	7.78	0	0.87	0	0	28.09	0.29	10.43	3.63	3.42	15.8	0	0	83.04	0.35	33.03	0	26.23
Hspbp1	87.13	0.47	0	4.12	0.39	32.72	101.55	108.63	118.8	109.57	75.12	0	0	0	23.72	2.7	27.79	19.41	0.46	88.14	2.67	0	129.09	0	148.57
9930012K11Rik	0	0.35	41.7	1.87	154.22	0	0	5.24	49.82	2.81	0	0	109.49	0	0	0	0	26.97	0	0	0	0	9.87	164.78	157.11
Acsl4	0.15	21.29	0.13	9.96	2.54	0.45	8.77	0.77	2.32	0.14	0.61	4.72	7.05	2.64	0	0	0	0.08	1.89	0.16	0.01	0	14.95	0	0
Notch1	28.43	19.19	18.9	18.45	8.98	9.04	13.5	14.24	1.96	6.51	6.94	0.47	12.91	13.09	12.79	3.97	3.94	0.72	0	5.76	9.45	12.77	10.06	14.28	16.6
Hpcal1	6.34	34.25	11.34	63.3	95.58	31.17	49.04	42.17	8.9	5.17	0	0	3.03	0	37.42	2.68	15.37	0.89	45.65	0	46.41	0.26	11.8	0	0
Tax1bp3	140.81	260.85	40.68	233.01	3.69	75.89	157.94	61.63	150.71	34.89	0.11	54.77	21.05	1.48	2.29	0	0	14.11	0.23	38.92	0.26	69.39	1.17	0	0
Arhgap11a	0	0	0.14	29.77	0	0.07	0	23.08	2.37	2.02	7.25	6.63	0.97	0.33	0.17	4.21	0	17.69	0	0	0	0	0	0	0
Meis1	0	0	0.12	6.69	0.27	96.42	169.01	56.53	44.94	99.43	106.31	358.81	82.41	203.77	153.44	104.13	137.12	237.88	0.7	136.69	35.39	90.62	102.72	145.45	82.09
Frmd4b	138.61	67.7	104.33	46.92	40.98	0.08	12.04	48.56	4.94	2.21	0	0	24.35	0.01	0.01	6.52	1.19	0.12	5.84	16.01	0	0.59	33.64	0.3	0
Psmd8	13.91	103.32	217.29	75.82	114.45	348.36	202.31	319.85	266.9	171.57	168.14	29.21	77.26	110.3	124.07	224.2	358.48	202.92	282.29	228.93	297.48	73.13	30	263.76	337.76
Tbc1d10c	0	16.22	0	0	0	12.1	39.05	0	30.83	13.74	54.21	64.79	0	0	0	0	69.1	65.2	7.84	196.34	243.22	23.46	39.25	238.93	9.12
Cd93	100.19	54.99	69.04	4.97	71.23	9.91	28.84	33.84	32.8	29.43	85.17	67.54	18.52	18.62	100.33	42.83	88.71	43.49	2.49	86.85	15.46	7.36	91.19	0	53.23
Sirt2	165.52	140.55	43.41	39.57	123.52	29.56	86.25	15.91	85.59	30.72	0	40.06	80.67	0	97.26	86.56	8.37	79.4	26.33	57.37	93.27	97.79	48.16	114.37	0
AK157302	23.78	35.11	36.52	11.94	3.26	44.33	61.85	20.42	11.64	59.07	3.05	28.79	19.01	0	18.43	11.97	5.86	29.67	21.6	0	15.79	5.28	8.67	13.95	25.64
Tmem147	80.55	206.69	59.03	6.45	69.92	192.97	64.12	155.78	115.64	102.16	120.87	26.06	8.84	1.06	61.98	174.03	25.63	0	140.86	131.64	99.8	78.52	88.94	58.4	287.67
Pdlim1	0	0	0	0	430.13	140.4	359.27	448.51	194.5	224.19	93.18	453.87	103.48	287.37	5.51	0	366.74	144.22	0	0	2.41	29.99	5.25	135.88	372.47
BC035044	0	0	0	0.01	0	0	0	0	0	0	24.48	2.1	0	0	0	118.79	28.88	8.26	46.52	0	0	0	0	0	0
Sar1a	0	1.75	123.85	15.11	0.41	52.81	56.19	60.02	65.73	174.91	162.83	3.91	28.56	219.93	0.91	57.72	12.82	2.28	18.14	26.62	39.84	99.22	58.51	178.74	0.41
Itgb1	181.62	153.8	57.34	39.21	258.2	102.02	144.24	42.71	87.63	187.66	193.14	99.51	52.66	83.36	166.75	103.22	21.7	58.77	79.18	65.03	97.71	118.14	92.62	30.35	115.76
B3glct	0	3.15	1.39	0.49	0	17.66	0	0	0.65	1.9	7.37	4.64	0	0	4.17	7.11	18.61	0	4.77	0	20.41	0	0	0	0
Mir99ahg	0.08	0.19	4.53	1.6	138.23	0.02	0	7.57	10.39	0	0.17	0.22	0	0	0.16	0.29	0.02	17.71	0	0	0	4.84	0	1.15	0
Mest	1167.22	2934.16	1739.57	1812.4	371.95	16.48	27.08	50.13	0.2	93.78	0	9.23	0	42.39	0	0.17	1.56	0.34	0.25	0.68	0	0	0	0	0
Podxl	90.69	59.22	24.14	31.26	0.76	0.01	19.67	14.04	14.46	27.37	5.96	13.99	23.39	51.72	0	0	1.59	0	0	21.09	0	0	0	0	10.12
Slc25a11	1.19	0.4	0.81	0.38	25.57	56.26	55.51	183.35	83.25	266.81	75.14	119.95	1.17	16.25	175.48	109.5	184.48	5.85	54.23	0.71	72.23	0.95	48.7	25.89	0.33
Rnf213	0	0	0	0.11	0	130.27	105.24	40.79	3.71	152.12	19.64	55.11	89.8	33.42	2.29	0	86.41	12.03	68.57	105.07	94.93	306.32	3.73	273.73	43.82
Ddb1	4.94	43.37	78.56	20.25	29.11	42.22	63.43	15.21	39.68	58.44	227.26	54.4	108.11	110.05	23.39	7.26	60.88	32.68	56.67	143.27	35.21	72.32	39.56	27.22	34.07
Cnot8	245.23	141.93	3.01	4.92	170.15	0.84	134.24	73.69	103.58	63.13	79.42	0.97	24.71	0.38	14.28	31.62	0.21	111.47	96.82	145.78	22.81	85.44	5.08	0	1.36
Tspyl1	13.69	3.75	12.26	0.14	43.74	54.89	31.65	16.01	20.79	12.78	13.73	4.52	64.42	20.13	27.5	27.17	72.84	14.74	73.76	37.75	19.49	45.78	5.39	121.81	52.41
Ccdc50	26.95	18.68	1.58	49.06	48.79	66.54	39.69	20.6	20.84	26.83	25.43	60.47	18.09	72.2	46.95	19.06	30.34	18.07	30.41	25.24	37.44	1.71	25.03	27.73	78.8
Eif1	99.1	242.81	254.36	158.14	222.22	398.33	199.28	340.74	381.64	469.25	204.76	241.35	351.74	214.93	298.27	533.55	144.86	340.23	237.27	115.51	207.44	102.52	97.9	267.54	258.07
Hist1h2ap	0.34	6.88	1.39	39.27	0.34	9.58	23.89	55.53	9.63	5.2	10.13	3.22	0.35	103.72	0	40.15	50.62	29.23	8.76	12.06	27.73	11.7	37.45	20.27	11.89
Wasl	11.89	0.29	0	18.75	3.2	6.87	16.52	12.66	25.49	28.11	18.27	43.27	89.95	54.25	31.58	0	10.11	2.86	15.5	0	0	71.21	1.38	0	1.05
Clta	95.43	42.99	149.3	201.02	125.78	334.82	505.98	319.81	468.73	561.84	226.41	271.65	259.33	9.13	190.14	87.12	323.99	371.36	343.36	829.22	163.2	215.13	177.34	214.15	442.97
Prtn3	0	0	0	3.66	0	139.25	159.93	0.7	59.74	2.88	100.88	0	106.98	42.04	54.58	57.32	31.41	276.68	153.08	111.1	0	145.69	136.64	416.98	620.28
Nfkbid	0	0	0	0	0	12.24	0	0	0	0	0.98	0	0	0	0	0	0.42	12.36	0	26.85	0	1.39	0	14.71	3.33
Smim14	0	1.94	0	0	44.18	0	56.52	13.24	7.53	82.86	36.35	2.89	171.7	0.01	0.02	205.33	2.81	44.87	0.07	0.85	80.05	1.88	9.83	14.95	132.63
Ptk2b	0	0	0.35	0	0.01	26.94	183.78	46.12	74.85	42.42	58.36	43.02	241.02	27	95.24	3.72	23.12	87.5	8.24	0.9	65.23	1.6	4.95	69.54	109.78
Mphosph9	0	14.82	0.7	0	0.02	0	0	12.85	2.19	0	16.15	9.69	0.02	0	45.37	0.01	1.37	5.02	0	1.9	48.13	0	0.01	0.21	0
Ogfrl1	0	0	3.14	1.45	2.65	10.44	20.01	0	35.73	18.12	25.54	0	36.48	29.35	49.54	32.64	2.62	67.5	19.1	85.16	0.5	4.71	106.61	12.47	0
Samsn1	12.08	0	38.19	3.84	0	38.9	0	0	0	18.98	36.57	0.86	2.79	3.2	11.81	300.38	129.44	244.92	35.34	104.28	102.67	107.74	85.71	71.63	261.84
Sash3	0	0	0	0	0	7.82	26.06	0	17.23	28.35	35.51	7.9	107.62	15.83	94.21	114.43	137.64	174.85	80.74	25.27	142.39	146.16	0.66	82.52	51.19
Gm12091	15.93	28.93	20.65	16.74	4.37	58.87	49.39	47.14	54.99	41.81	23.49	33.9	15.75	21.8	12.59	30.28	43.24	27.81	31.13	40.14	28.15	18.2	27.85	17.92	16.81
Rab1b	0	108.91	53.39	52.53	0	123.7	9.22	129.62	134.03	122.49	32.87	13.74	0.36	55.33	3.56	98.79	99.44	10.06	94.78	81.37	0	0	12.36	48.25	34.83
Prdx2	299.47	189.91	396.69	160.42	168.05	588.06	520.58	512.34	475.84	430.91	358.58	418.36	98.4	169.06	237.25	169.23	91.2	95.51	56.08	303.25	381.23	557.24	135.37	139.26	249.32
H2-D1	62.26	9.82	8.06	0	234.76	36.77	73.17	45.13	30.69	23.56	76.28	0	21.64	51.25	1.94	80.64	144.78	69.89	23.53	41.34	121.48	199.19	181.59	158.18	176.02
Sgms1	18.76	7.79	16.95	108.18	5.12	49.97	5.39	1.63	7.53	10.62	3.51	2.72	0.33	2.44	10.72	13.22	27.29	31.9	8.58	3.46	20.59	1.01	42.68	106.06	3.03
Dpagt1	2.1	28.42	18.74	54.11	0.29	65.81	0.15	60.7	57.57	84.27	0	106.75	0	0	21.34	0	63.3	145.04	41.83	60.9	0	0	0	0	14.94
Lap3	12.89	116.73	24.8	21.38	91.69	180.31	184.89	44.66	116.16	42.53	0.14	11.4	5.46	4.97	203.06	200.25	191.53	88.29	58.81	28.12	26.78	38.84	103.7	0.53	2.47
Eif2s3y	19.96	74.57	0	197.12	0	145.63	30.45	0	61.36	0	11.87	62.67	0	0	0	12.92	0	0	0	2.65	0	0	0	0	0
Csf2rb	0	0	0	0	0	0	0	0	0.14	0.07	2.06	0.95	0	0	0.16	16.85	0	7.45	31.82	59.34	0.45	52.27	0	0	0
Mfsd5	0	46.62	0	0.14	0	1.2	44.1	45.79	9.9	4.12	37.47	111.85	52.71	48.68	25.48	32.78	69.63	0	45.19	51.36	0	0	0	0	0.97
Kif1b	25.62	84.75	3.84	26.67	29.63	0.39	0.07	12.32	8.79	2	8.7	0	0.95	0	1.63	0	6.82	0	0.12	1.23	52.42	0.57	13.38	2.75	0
Cyfip2	0.05	0.02	0.02	0.07	0.08	0.03	4.93	4	0.67	0.16	18.82	26.57	20.63	23.16	6.57	120.3	14.29	116.44	25.29	20.06	47.92	23.66	88.04	50.32	29.7
Rpl6	663.87	1041.91	870.44	1052.26	749.56	2532.16	2222.26	1902.63	2752.92	1991.17	1135.85	1237.74	776.79	463.83	1009.94	2403.09	2109.74	1543.31	1969.44	1762.49	2432.64	2180.46	2321.64	1545.91	1475.45
Rpl26	668.03	1151.31	321.17	621.84	448.46	1397.42	1436.31	2102.72	1884.38	2062.87	1630.1	1541.61	1475.11	1737.28	1110.33	1579.11	1128.78	1390.81	1294.24	994.61	1260.39	952.51	1758.5	1338	1942.27
Vezf1	45.82	0	9.17	2.45	32.75	84.74	38.03	40.45	1.44	74.88	84.93	15.79	92.63	59.33	26.66	24.17	59.99	76.48	45.02	78.34	157.62	49.98	16.06	86.65	41.23
Rps3	420.09	412.54	374.87	338.5	128.66	1785.93	1354.65	1595.07	1619.38	1340.84	827.89	1064.53	640.91	561.33	994.91	762.24	757.47	819.49	898.05	828.44	894.51	974.92	753.63	556.73	590.14
Tmx3	5.55	70.93	9.78	16.7	18.12	19.61	35.45	10.83	5.78	42.38	30.89	2.46	18.35	10.78	143.72	28.46	0.08	52.63	1.13	0	1.71	17.81	31.89	14.47	56.57
Alas1	0.63	0	0	0	0.29	0	4	1.37	0.55	0	0	0	2.74	42.89	0	1.18	14.04	0	0	9.16	7.59	31.11	15.5	0	62.23
Syngr2	0.63	9.55	0	16.67	1.66	229.16	191.16	121.09	141.38	253.09	209.84	7.14	1.01	73.85	10.29	103.62	189.93	154.33	151.25	43.53	55.51	114.04	48.29	183.43	113.54
Tgtp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.94	26.4	0	0
Gm28438	45.11	107.7	62.98	38.9	15.73	20.4	51.73	79.66	39.05	44.51	95.34	120.32	269.28	177.76	154.93	138.22	67.95	50.17	88.56	48.48	290.87	179.74	237.45	264.48	224.53
Tubb2a	115.38	100.96	0.45	51.21	0	0	0	0.51	0	2.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng12	0.94	32.44	9.32	80.64	38.89	36.7	0.07	4.1	7.16	10.81	0.17	40.62	0.15	22.29	25.73	0	7.32	5.58	0	0	0.03	10.76	31.28	0	14.06
Fam195b	44.26	51.42	116.38	132.25	0	62.9	68.79	180.57	106.64	57.89	0	0.72	99.17	0.7	9.41	2.44	36.8	116	37.17	265.53	8.88	7.81	99.39	15.57	0
Pigx	41.03	195.72	149.77	0	0	56.78	41.86	155.71	126.02	85.69	0	16.71	42.36	0	20.23	17.22	45.09	47.45	32.56	30.52	71.04	19.28	10.43	172.99	24.48
Ndufb9	0	110.82	101.92	11.6	20.64	165.31	226.54	93.19	209.17	108.5	94.1	6.44	49.69	75.43	62.7	102.43	101.95	9.07	154	34.83	71.7	99.82	4.57	98.92	105.57
Pde4d	0.13	0.1	29.4	2.77	0.26	0.16	38.96	0.37	0.02	2.48	3.18	0.02	0.08	0.08	0.95	1	49.59	79.08	49.9	1.13	0.05	0.65	80.54	109.32	0.27
Dnajc24	0.05	0	0	11.45	1.27	0.02	0	29.55	14.89	6.78	5.58	0	0.66	15.53	0.89	0	8.51	54.5	17.26	0	28.22	0.88	5.86	0	0
Atp1b3	100.76	167.73	2.84	133.14	92.3	51.62	19.43	45.11	100.5	33.5	99.59	110.47	69.25	118.03	0	73.24	54.42	19.2	52.46	86.19	129.31	206.63	75.95	3.92	145.03
Chmp5	117.21	0.46	10.9	0.48	33.24	1.17	82.99	0.75	1.69	0	0	0.55	23.23	7.45	0	28.7	65.22	0.07	24.25	35.97	0	3.79	9.59	0	32.95
Nus1	87.55	10.46	26.57	34.56	0	14.22	23.56	42.19	13.27	32.96	27.68	19.2	13.06	1.74	17.82	0	4.24	11.31	4.13	0	5.29	5.74	37.15	67.66	101.04
Unc13a	2.92	1.9	0	0.35	4.53	5.59	3.34	3.06	2.68	9.12	3	9.22	3.92	5.63	4.13	0.91	0.26	0.08	1.6	0.31	6.28	25.43	2.22	5.28	0
Procr	0	0	0	0	31.35	267.83	295.06	426.51	66.64	98.65	93.3	281.66	118.16	73.85	327.11	75.04	71.92	140.6	19.23	0	74.64	16.99	76.64	257.91	106.21
Emp1	0	0	111.44	0	69.92	0	0	0	0	22.57	0	0	0	0	0	0	0	0	69	0	0	0	0	3.43	0
Akr1c14	0.04	0.03	0.06	0.02	41.58	0.18	32.45	47.23	0.03	43.06	0.01	0.06	0.09	0.07	0.05	0.02	0.01	0.07	0.03	0.03	0.02	0.06	0.04	0.04	0.03
Dazap2	103.13	201.78	15.5	337.33	474.8	282.4	260.94	336.67	387.47	446.03	95.02	161.33	84.03	258.41	69.37	355.46	445.82	481.37	316.32	253.15	492.21	414.75	241.44	278.15	427.29
Cdc16	151.3	143.12	35	80.18	30.52	54.76	65.83	69.97	103.01	169.88	25.66	12.76	66.99	170.72	75.19	1.15	228.94	148.65	82.73	117.31	60.1	62.37	119.94	26.38	84.68
Epas1	69.23	73.99	2.5	23.44	278	2.28	14.79	9.94	0.31	15.36	0	3.83	0	0.41	0	0	0	0	0	0	0	1.96	0	0	0
Ran	73.37	609.99	130.94	171.55	20.5	306.66	425.6	504.33	585.25	553.47	187.14	160.22	144.68	64.55	129.75	584.22	422.18	48.39	608.2	409.8	282.49	62.7	330.7	154.57	157.91
Nfkbia	26.85	39.98	128.34	7.14	191.43	6.6	38.68	37.37	26.91	183.55	42.44	207.37	51.93	78.96	33.29	0	7.15	60.82	0	2.01	5.65	0	64.71	0	0
Maf1	1.19	48.35	1.89	1.58	127.52	40	3.79	162.31	48.92	246.67	58.32	1.24	33.87	73.15	19.12	156.6	48.9	23.8	13.04	9.79	10.52	6.49	11.51	0	14.06
Sumo2	226.1	369.98	35.21	206.06	73.29	431.46	322.05	508.13	481.94	386.86	78.84	171.52	272.33	155.82	70.91	818.21	484.7	230.72	459.42	149.58	242.28	98.99	239.6	132.73	119.22
Tipin	33.62	127.46	4.31	52.13	0.5	10.01	181.96	66.98	64.1	86.73	84.44	2.87	5.25	11.13	0	34.27	210.76	5.62	205.15	111.43	129.09	0	84.47	37.9	78.12
Tpd52	0.36	0	0	0	0.12	85.95	2.81	46.72	3.82	14.7	0.03	42.15	23.11	0.31	1.28	242.12	5.12	89.17	0	118.11	52.02	6.46	0	81.81	0.08
Mapkapk3	0	0	20.01	0.07	0	114.86	40.35	30.51	0.12	11.74	15.14	6.3	0	0	68.19	0.01	9.93	49.55	95.26	10.13	26.75	107.17	4.76	0	365.71
Gm28933	212.15	5.52	105.63	0.7	20.26	21.08	10.64	21.94	58.11	31.46	15.59	6.01	10.74	92.52	9.04	29.33	0.63	9.04	0.5	0	0	64.17	4.29	0	6.21
Alad	0	61.03	0.62	29.72	0	67.47	103.49	21.31	31.58	34.38	0	0	8.79	0	0	81.16	29.72	0	71.88	32.45	0	0	163.6	0	0.99
Rpl23	188.02	618.1	220.71	435.42	169.21	557.07	678.94	913.03	752.64	895.12	374.38	349.1	395.44	263.82	484.47	796.9	487.95	519.39	638.64	576.07	831.06	871.02	859.67	899.13	661.25
Klhl4	151.41	170.78	49.21	2.58	59.04	3.91	0.08	51.61	5.99	0	52.31	7.02	25.02	0	22.75	0	5.58	2.29	0	42.03	10.04	0.12	34.99	0	0
Stk4	0.09	25.39	5.47	0	0.1	22.48	11.89	23.51	35.99	26.8	32.12	2.04	18.41	39.13	4.48	96.39	4.71	4.17	50.38	0.1	18.29	96.69	1.46	159.97	44.3
Gm17383	87.47	147.85	30.02	121.55	29.14	57.23	82.19	132.68	79.71	52.15	97.19	50.95	76.55	68.49	7.86	98.44	155.16	17.65	73.73	78.65	130.44	37.99	71.59	33.09	42.55
Snx6	1.03	116.46	22.78	9.2	127.46	10.47	106.72	83.11	59.6	87.18	29.24	58.47	36.63	97.98	10.78	149.17	157.53	338.8	43.68	183.75	0.01	17.29	0.02	14.64	166.82
Hells	0	38.66	4.2	11.77	10.64	15.48	39.39	0.3	9.34	50.33	52.81	12.27	28.17	23.17	3.67	55.87	39.67	0.01	43.75	14.9	3.99	0.06	0	57.82	38.12
Capn2	355.38	118.55	280.98	73.51	57.88	2.47	70.04	1.3	15.34	15.15	60.97	231.64	59.52	155.68	146.72	46.93	50.62	0	12.66	2.58	99.1	54.18	139.46	15.38	0.17
Msh3	0	0	16.23	0	0	2.82	32.23	0.74	25.5	35.23	129.9	1.25	75.75	0.4	79.75	237.81	20.22	0	31.02	107.54	0.59	0	42.89	8.19	88.61
2610524H06Rik	0	6.07	0	0	0	7.21	21.94	38.56	43.33	61.44	0	5.83	59.29	25.47	0	48.81	71.03	174.09	0	0	137.06	0.48	0	36.8	0
Pole4	71.2	8.27	79.74	126.01	1.47	47.88	44.79	61.1	32.71	72.7	2.57	70	97.44	28.5	3.71	248.65	53.42	31	91.02	37.52	42.82	133.3	102.91	4.75	160.03
Gm8909	0.92	0	0	0	2.63	0.48	1.1	1	0.24	0.51	2.38	0	0.37	0	0.14	1.94	0.43	1.61	0.32	0.28	2.7	0.87	1.38	1.44	1.84
Dbn1	129.08	112.7	130.04	5.39	12.6	0	0.28	31.78	0	7.76	0	133.28	4.51	0	0	0	0	4.5	0	0	0	0	0	0	0
Celf2	0.1	0.18	0.21	0.11	0.03	168.08	46.24	12.3	25.97	30.53	153.54	187.16	186.69	36.65	154.29	92.21	80.04	270.94	256.93	319.77	176.18	311.25	120.08	156.92	64.25
Lgals1	0	2.05	0	0	26.35	0	14.43	10.64	22.3	12.56	34.77	0	0	23.55	0	57.3	32.59	38.77	49.84	97.54	100.83	0.59	24.96	5.38	0
Limd1	6.57	105.18	86.49	21.18	0.3	17.84	13.49	17.79	2.44	13.76	4.76	25.24	4.17	3.46	3.13	3.34	43.51	5.15	3.73	37.4	0.15	0	2.12	96.72	55.39
Larp4	0.67	1.89	1.04	11.11	0.3	0.94	2.4	1.06	3.78	1.2	1.16	1.03	7.07	2.98	18.89	4.27	7.51	3.47	3.94	0.86	0.87	1.14	0.9	0.05	0.03
Heph	2.25	103.68	5.52	0.05	0.22	0.28	0	66.73	6.01	0.23	17.65	6.22	15.33	0	6.94	0	0	0	0	0	0	0	0	0.01	8.82
Pag1	0.01	0	0	0	0	0.04	0	0	0.31	0	0.08	0	0.01	6.59	0.18	25.95	8.26	0.05	0.32	0.11	12.2	21.72	0.1	2.8	19.2
Sp110	0	0.35	0	0	67.2	109.56	89.53	20.41	0	0	103.23	124.55	42.37	9.64	90.57	102.66	106.02	145.81	73.12	8.42	18.77	75.31	293.04	38.34	0.29
Mcam	71.42	21.14	16.19	23.51	23.81	0	0.3	17.07	2.6	12.1	0	0	0	6.53	0	0	0	5.85	0	0	0	0	0	0	0
Rhof	2.96	0.02	5.88	0	31.28	13.95	5.33	27.47	14.03	0.03	3.94	0	4.68	0	0	0	0.56	0.3	0.91	1.37	0.13	0	0	29.19	0
Ctnnd1	15.7	51.48	86.68	9.2	24.83	62.74	4.71	20.4	53.15	22.77	46.49	37.52	58.29	32.23	50.68	0.01	9.35	3.68	1.36	54.89	188.06	47.92	0	11.06	0
Socs2	26.54	0	0	0	0	0	21.41	0	3.21	0.17	2.75	0	0	65.13	0	0	0	0	9.2	0	0	0	53.18	0	0
Cd53	0.23	0	0	0	0	29.46	0	0	0.41	0	7.84	0	0	0	0.47	170.96	66.68	141.08	12.55	58.77	4.45	0	0	1.05	0
Arhgdib	0.58	1.28	0.65	58.69	97.36	465.3	264.85	420.44	561.25	413.15	67.92	114.27	314.18	69.5	197.53	239.79	830.19	352.94	577.18	560.66	1030.78	429.39	352.49	188.77	572.51
Rpl5-ps1	41.61	48.01	76.76	55.67	41.6	164.03	105.72	121.21	138.84	110.24	101.64	83.4	58.12	56.4	72.66	142.31	139.84	115.33	135.69	129.93	68.36	146.66	115.37	58.67	89.67
Rhobtb3	0.3	0	13.72	0.7	59.84	30.42	29.31	7.99	35.51	27.1	7.72	22.12	62.5	4.39	66.75	17.51	8.07	25.2	0.08	112.35	8.47	0.15	1.11	0.15	0.21
Klf6	41.21	0.3	69.32	26.71	0	37.52	49.02	146.33	52.7	76.44	72.79	64.2	85.98	120.25	29.92	168.66	12.53	133.63	135.97	21.78	41.5	163.09	15.89	99.93	0.75
Tor1aip1	56.6	12.67	0	9.32	0	154.64	0.14	19.03	18.86	25.53	101.66	2.24	4.09	73.73	0.21	74.96	26.77	2.02	13.32	0	6.53	8.41	3.47	0	0
Eogt	34.64	176.65	39.55	69.49	24.57	25.59	11.38	0.12	8.46	7.46	0	1.57	0	0.66	0.01	0	0	0	0	10.04	0.81	0	0.01	0	0
Hmbs	13.72	2.26	0.46	109.11	1.12	79.24	96.16	175.92	107.92	23.8	100.07	112.97	0	0.53	80.87	407.95	54.68	0.3	16.35	54.97	92.09	90.31	100.02	146.7	12.54
Gm14760	33.38	45.33	36.66	48.56	25.29	80.84	85.02	42.13	75.93	64.52	40.24	19.2	12.86	19.09	13.55	50.07	64.78	29.22	60.12	98.55	33	25.34	38.59	20.04	21.27
Vav1	0	0	0	18.33	0	0	0	0	16.95	19.69	81.2	0	35.41	43.48	4.15	33.63	22.61	113.77	44.02	30.34	0.74	62.94	1.86	78.5	194.32
Myo1g	0	0	0	1.31	0	53.33	1.71	0	0	0.12	5.2	0	0	0	110.7	11.97	11.98	135.1	114.74	79.44	0	0	0	132.26	20.82
Tor4a	0	0	0	0	0	0	0.66	11.8	14.15	6.74	0	0	41.02	41.01	0	21.63	0	7.29	16.01	0	18.64	0	2.84	22.13	86.43
Hbp1	107.47	22.33	181.42	57.18	10.9	16.73	19.61	46.7	22.67	74.61	38.61	48.78	110.03	108.5	2.1	4.4	17.69	1.76	12.46	109.95	13.78	3.59	45.16	90.58	5.82
Pnpla2	0	12.46	0	0	13.35	59.55	21.58	0.32	87.46	146.45	71.16	5.49	37.52	90.74	79.22	1.46	34.35	137.18	30.81	99.11	0	1.36	14.62	139.77	235.09
Ranbp1	237.77	316	5.24	68.78	77.67	380.87	436.25	298.44	525.8	344.58	57.87	24.13	143.85	133.82	149.71	190.18	220.86	93.42	364.5	152.69	280.3	13.33	60.76	71.72	84.14
Fos	0	0.32	121.79	52.56	933.63	10.18	123.49	384.44	30.58	0.17	81.66	232.31	14.19	58.77	46.16	145.59	296.58	138.99	22.07	0	287.75	138.84	405.71	667.16	0.26
Rab37	0	0	0	0	0	0	3.67	0.56	14.67	21.4	0	0	0	0	30.78	0	23.49	34.99	0	0	0.01	0	0	0	4.72
Eif3i	100.11	117.38	2.7	257.61	13.61	336.48	796.74	523.3	610.53	523.33	139.7	76.19	222.43	249.97	150.05	332.61	321.77	37.01	375.47	412.94	199.31	365.9	337.3	120.88	330.51
9430008C03Rik	0.22	53.34	15.46	119.87	2.01	1.72	0.21	8.74	18	8.33	1.14	15.93	17.29	0.48	46.25	0	11.75	18	0	71.46	0.93	0	5.8	20.93	72.29
Anln	0	0	0	16.99	0	6.62	15.93	12.85	0	1.78	33.06	0	0	5.13	0	0.76	27.6	0.3	6.81	0	0.01	0.75	0	0	0
Pcbd1	0	0	3.93	8.89	87.86	40.98	5.6	31.43	94.26	99.51	0	7.15	46.59	0	1.19	0	20.54	2.73	29.84	0	0	0.59	0	0	0
Ppap2b	55.09	5.39	1.66	38.24	2.33	0	0.17	0	0	0.28	0	0	0	0	0	0	0	2.42	0	0	0	0	0	0	0
Mpzl1	61.31	344.53	468.83	104.1	148.59	76.82	144.89	208.73	82.31	322.9	51.11	165.55	10.21	336.78	40.97	41.03	0.19	182.59	0.15	0.2	79.3	157.6	167.76	0.27	1.77
Nckap1	39.95	167.54	67.85	59.11	146.62	0	16.18	30.8	0	26.48	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp521	0	6.44	11.53	0.06	123.8	34.58	57.64	55.62	10.49	18.13	7.69	35.54	57.46	29.14	34.44	0.26	6.16	0	3.64	0	31.35	0.4	8.81	26.18	0
Pfkfb2	0	0.04	0	0.07	0	0	2.31	0	5.14	0.07	0.1	1.49	4.74	0.81	0	0	0.13	0.26	29.16	4.55	0.8	0	0	0	0
Smc5	0	0.54	29.3	5.49	11.4	23.86	38.23	44.98	37.73	16.35	23.06	64.9	74.14	72.26	48.01	1.37	43.51	48.7	43.83	14.19	13.72	68.28	20.93	211.83	3.43
Eci2	207.73	0	78.53	85.13	88.15	99.34	12.31	112.68	60	56.29	24.18	94.41	5.92	0	0	271.31	82.84	193.8	5.95	255.98	27.44	52.25	199.59	18.24	12.23
